Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Simpson, Alexander I; Brink, Johann H; Colman, Ian R; Mckenzie, Kwame J",Centre for Addiction and Mental Health (Toronto),Operating Grant,201303MOP,"Public, Community & Population Health 2",Predictors and consequences of trajectories of mental illness among prisoners,"                $299,018","                      $0","3 yrs 0 mth "
"Sim, Sarah Meaghan",Dalhousie University (Nova Scotia),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,"Choice or circumstance? An exploration of breastfeeding practice among obese, low income, food insecure Nova Scotian mothers","                $105,000","                      $0","3 yrs 0 mth "
"Sims-Gould, Joanie",University of British Columbia,New Investigator Award-PA: Community-based Primary Health Care,201312COB,Allied Health Professionals - New Investigators,"A Community Based Research Program Focused on ""Adding Life to Later Years""","                $300,000","                      $0","5 yrs 0 mth "
"Sims-Gould, Joanie; Miller, Glenn",University of British Columbia,Planning Grants - Priority Announcement: Aging,201206MAG,Planning Grants,A Picture is Worth a Thousand Words:  Using Video to Demonstrate the Health and Built Environment Intersection,"                 $25,000","                      $0","1 yr 0 mth "
"Sims-Gould, Joanie; Mckay, Heather A",University of British Columbia,Operating Grant: Spread and Scale of Existing CBPHC and eHealth Innovations,201910SSI,Spread and Scale of Existing CBPHC and eHealth Innovations,Adapting an effective health promotion intervention for scale-up: a focus on older adults in receipt of home and community care services,"                 $69,998","                      $0","1 yr 0 mth "
"Sims-Gould, Joanie; Herman, Matthew S; Mckay, Heather A",University of British Columbia,Project Grant,201610PJT,Project Grant Competition,"Choose to Move:  Impact and Implementation Evaluation of a Program to Enhance Older Adult Physical Activity, Mobility and Health","                $726,752","                      $0","4 yrs 0 mth "
"Sim, Shannon M",University of Alberta,Travel Awards - Institute Community Support,201901ISU,"Institute of Human Development, Child and Youth Health",Availability of Healthy Food Options in the Surrounding School Environment and Diet Quality of School-Aged Children: Findings from a Provincially Representative Study of Grade 5 Students from Alberta,"                  $1,000","                      $0","1 yr 0 mth "
"Sinclair, Isabelle",Université du Québec à Montréal,IPPH Travel Awards - CPHA Annual Conference,202001IPT,IPPH Travel Awards - CPHA Annual Conference,Relationships between psychosocial stress and sedentary behavior during pregnancy among Canadian women: Results from a diverse cohort and a nationwide sample,"                  $1,500","                      $0","1 yr 0 mth "
"Sinclair, Raven P; Christian, Wayne M",University of Regina (Saskatchewan),Planning and Dissemination Grant - Institute Community Support,201502PCS,Planning and Dissemination - IIPH,60s Scoop/Indigenous Transracial Adoption Research Team Partnership Development and Planning,"                 $12,000","                      $0","1 yr 0 mth "
"Sinclair, Stephanie A; Horton, Mabel L; BLUESKY, Kathleen; Merrick, Cathy A",Direct Payment,Indigenous Component of Healthy Life Trajectories (I-HeLTI),201802ICL,Indigenous Component of Healthy Life Trajectory Initiative (I-HeLTI) - Development Grants,Cree Birth: Starting Life in a Good Way - Creating Sustainable Prevention,"                $100,000","                      $0","1 yr 0 mth "
"Sinclair, Stephanie A; Horton, Mabel L; Bach, Rachel L; Cheung, Melanie J; Cidro, Jaime; Craft, Aimée E; Healy, Bonnie A; Tait, Vanessa A",Direct Payment,Team Grant: Indigenous Component of Healthy Life Trajectories (I-HeLTI),201908IHL,Indigenous Component of Healthy Life Trajectory Initiative (I-HeLTI) - Development Grants,Supporting the trajectories of our spirit: Living Cree Pimatisiwin and Blackfoot Kiipaataapiisiinii (Our spiritual way of life),"              $1,012,500","                      $0","2 yrs 0 mth "
"Sinding, Christina",McMaster University,Catalyst Grant: Pilot Projects in Aging,200909IAP,Social Dimensions in Aging,Exploring the relationship between social support and recovery after an Emergency Department visit for a fall: A Pilot Study,"                 $41,338","                      $0","1 yr 0 mth "
"Singal, Deepa",University of Manitoba,Fellowship: Health System Impact Fellowships - Western Canada 1 year,201705HI6,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),Using Population Based Data to Guide Fetal Alcohol Spectrum Disorder (FASD) Policy Program and Policy Development in Manitoba,"                 $56,000","                      $0","1 yr 0 mth "
"Singh, Hardeep",University of Toronto,Planning and Dissemination Grant - Institute Community Support,202302PCS,Planning and Dissemination Grants,"Establishing mico, meso, and macro-level research priorities for advancing the practice of 'cultural humility' and 'cultural safety' in rehabilitation services","                  $9,993","                      $0","1 yr 0 mth "
"Singh, Harminder; Bernstein, Charles N; Demers, Alain",University of Manitoba,Operating Grant - PA: Regional Partnership Program : Manitoba,201003RPA,"Public, Community & Population Health",Risk of Non-Melanoma Skin Cancer among individuals with Inflammatory Bowel Disease: A population-based study,"                 $37,372","                      $0","2 yrs 0 mth "
"Singh, Mandeep",Direct Payment,Travel Awards - Institute Community Support,201401ISU,Institute of Circulatory and Respiratory Health,Sleep Patterns In The Ontario Health Study: Ethnic Variations In Sleep Duration,"                    $500","                      $0","0 yr 3 mths "
"Singh, Sarah",University of Western Ontario,IPPH Travel Awards - CPHA Annual Conference,202001IPT,IPPH Travel Awards - CPHA Annual Conference,No research proposal is required,"                    $700","                      $0","1 yr 0 mth "
"Singh, Simron","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant: COVID-19 - Public health response and its impact,202002OV7,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Assessment of Cancer Patient and Caregiver Perspective on the Novel Coronavirus (COVID-19) and the Impact on Delivery of Cancer Care at an Institution with a Confirmed Case of COVID-19,"                 $44,700","                      $0","2 yrs 0 mth "
"Sinno, Jad",University of Toronto,Doctoral: Vanier Canada Graduate Scholarships,202011CGV,Vanier Canada Graduate Scholarships CIHR,"Online dating app use among gay, bisexual, and other men who have sex with men in Canada: A mixed methods study exploring the association between the use of online dating apps and symptoms of psychological distress","                $150,000","                      $0","3 yrs 0 mth "
"Sinno, Jad",University of Toronto,Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - B,"Online dating app use among gay, bisexual, and other men who have sex with men in Canada: A mixed methods study exploring the association between the use of online dating apps and symptoms of psychological distress","                $105,000","                      $0","3 yrs 0 mth "
"Sinno, Jad",University of Toronto,Banting Postdoctoral Fellowship Program,202309BPF,Banting Postdoctoral Fellowships Program,Addressing Stigma Across the Life Course: A Critical Exploration of Interventions and Programs for Queer Peoples in Canada,"                $140,000","                      $0","2 yrs 0 mth "
"Sinno, Jad",University of Toronto,CIHR Fellowship,202310MFE,Health Research Training A - Post-PhD (HTA),Addressing Stigma Across the Life Course: A Critical Exploration of Interventions and Programs for Queer Peoples in Canada,"                $135,000","                      $0","3 yrs 0 mth "
"Sinyor, Mark; Schaffer, Ayal","Sunnybrook Research Institute (Toronto, Ontario)",Project Grant,202309PJT,"Public, Community & Population Health 2",Understanding the association between community-level factors and suicide in Ontario,"                $263,925","                      $0","3 yrs 0 mth "
"Sirois, Caroline",Direct Payment,Travel Awards - Institute Community Support,201205ISU,"Institute of Nutrition, Metabolism and Diabetes",Aspirin and the risk of all-cause mortality in new users of oral antidiabetes drugs,"                  $1,500","                      $0","0 yr 1 mth "
"Sismondo, Sergio","Queen's University (Kingston, Ontario)",Catalyst Grant: Ethics,200911EPP,Catalyst Grant : Ethics (2016-2017),"Science, Business, and Ethics: Justifications in the Pharmaceutical Industry","                 $77,600","                  $1,800","2 yrs 0 mth "
"Sjoblom, Jessica E",University of Alberta,"Doctoral Research Award -PA: Research in First Nations, Métis &/or Inuit Health",202310DIA,Doctoral Research Awards - B,Reclaiming traditional Wahkotowin (kinship) support systems: Measuring the impact of community-driven and culturally-rooted strategies to promote mental wellness,"                $105,000","                      $0","3 yrs 0 mth "
"Skakoon-Sparling, Shayna P",Direct Payment,Travel Awards - Institute Community Support,201405ISU,Institute of Gender and Health,Sexual Arousal's Impact on Elements of Sexual Decision Making: How Sexual Arousal Affects Condom Adherence.,"                  $1,286","                      $0","0 yr 3 mths "
"Skakoon-Sparling, Shayna P",University of Windsor (Ontario),Travel Awards - Institute Community Support,201505ISU,Institute of Gender and Health,Men and Women's Faulty Perceptions of New Sex Partner Safety: Trusting What is Superficially Familiar.,"                  $1,321","                      $0","1 yr 0 mth "
"Skakoon-Sparling, Shayna P",Direct Payment,Travel Awards - Institute Community Support,201305ISU,Institute of Gender and Health,We Have to go Deeper: Understanding and Using Male and Female Participant Reactions to Sexually Explicit Material.,"                  $1,335","                      $0","0 yr 3 mths "
"Skakoon-Sparling, Shayna P",University of Guelph,Travel Awards - Institute Community Support,201707ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,"""Not the condom police"": Challenges and strategies for Ontario outreach workers talking about HIV transmission risk.","                  $1,369","                      $0","1 yr 0 mth "
"Skakoon-Sparling, Shayna P",Toronto Metropolitan University,Fellowship - Priority Announcement - HIV/AIDS and/or STBBI,201910HIV,Health Research Training A - Post-PhD (HTA),The impact of loneliness on sexual behaviour among sexual minority men in Canada.,"                $135,000","                      $0","3 yrs 0 mth "
"Skakoon-Sparling, Shayna P; Jollimore, Jody",Toronto Metropolitan University,Planning and Dissemination Grant - Institute Community Support,201909PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,Engage Cohort Study Meeting: National Knowledge Translation Planning Event,"                 $20,000","                      $0","1 yr 0 mth "
"Skakoon-Sparling, Shayna P; Jollimore, Jody",Toronto Metropolitan University,Planning and Dissemination Grant - Institute Community Support,201903PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,Engage Meeting: National Knowledge Translation and Cohort Study Planning Event,"                 $17,257","                      $0","1 yr 0 mth "
"Skakoon-Sparling, Shayna P",Toronto Metropolitan University,Travel Awards - Institute Community Support,201909ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,"HIV prevention altruism among gay, bisexual, and other men who have sex with men. Associations with attitudes and behaviour related to sexual risk-taking.","                  $2,308","                      $0","1 yr 0 mth "
"Skinner, Kelly",Direct Payment,Travel Awards - Institute Community Support,201405ISU,Institute of Indigenous Peoples' Health,Food insecurity in Northern Canada: The need for action-oriented research,"                  $1,500","                      $0","0 yr 3 mths "
"Skinner, Kelly","Lakehead University (Thunder Bay, Ontario)",Fellowship - Priority Announcement: IAPH Quantitative Research,201202FQU,Health Research Training A - Post-PhD (HTA),Perspectives on Revitalizing and Supporting Sustainable Food Systems and Improving Food Security from Three Remote First Nations Communities in Northern Ontario,"                 $67,500","                      $0","1 yr 6 mths "
"Skinner, Kelly",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201701ISU,National Gathering of Graduate Students and New Investigator Meeting,Food Quality in the Canadian North: A discussion of food quality issues from posts on the Feeding My Family Facebook group,"                  $1,262","                      $0","1 yr 0 mth "
"Skinner, Kelly",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201601ISU,Institute of Indigenous Peoples' Health,Northern and Rural Food Systems in Indigenous Communities in Canada,"                  $2,050","                      $0","1 yr 0 mth "
"Skinner, Kelly; Fresque-Baxter, Jennifer A; Spring, Andrew; Wesche, Sonia",University of Waterloo (Ontario),Team Grant: Food Security and Climate Change in the Canadian North,201904FCC,Food Security and Climate Change in the Canadian North - Team Grant,Learning from and enhancing Community Capacity for Climate Change and Food Security (C4FS) action in the NWT,"              $1,500,000","                      $0","4 yrs 0 mth "
"Skinner, Kelly; Fresque-Baxter, Jennifer A; Spring, Andrew; Wesche, Sonia",University of Waterloo (Ontario),Team Grant: Food Security and Climate Change in the Canadian North - LOI,201810FCN,Food Security and Climate Change in the Canadian North - Team Grant (LOI),Enhancing community capacity for climate change and food security planning and policy in the NWT,"                 $15,000","                      $0","1 yr 0 mth "
"Skinner, Kelly",University of Waterloo (Ontario),Applied Public Health Chair - Research Area 2 - Healthy Environments,202109PP3,IPPH / PHAC Applied Public Health Chair,Healthy environments through learning from and enhancing community capacity for climate change and food system action in northern Canada,"                $207,593","                      $0","6 yrs 0 mth "
"Skinner, Mark W; Dalrymple, John; Herron, Rachel V","Trent University (Peterborough, Ontario)",Operating Grant: Social Inclusion of individuals with dementia and carers,201609SII,Operating Grant: Social Inclusion of individuals with dementia and carers,Improving social inclusion for Canadians with dementia and carers through sharing dance,"                $274,678","                 $15,000","4 yrs 0 mth "
"Skinner, Stuart J; Worthington, Catherine A",University of Saskatchewan,"Planning Grants - PA: First Nations, Inuit or Métis Planning Activities",201206PME,Planning Grants,Rural Engagement and Retention in Care HIV Working Group,"                 $25,000","                      $0","1 yr 0 mth "
"Skowronski, Danuta Maria; De Serres, Gaston",University of British Columbia,Catalyst Grant: Pandemic Preparedness,200904PAP,Pandemic Preparedness,Sentinel Household Surveillance: Web Platform for Community-based Monitoring and Evaluation during a Pandemic,"                $100,000","                      $0","1 yr 0 mth "
"Skrotzki, Cassandra C",Toronto Metropolitan University,Travel Awards - Institute Community Support,202310ISU,Travel Awards - Institute Community Support,Assessing the Efficacy of an Active Aging with Resilience Program for Enhancing Older Adults' Psychosocial Wellbeing and Functional Independence,"                  $2,000","                      $0","1 yr 0 mth "
"Skye, Amber D",Direct Payment,Travel Awards - Institute Community Support,201205ISU,Institute of Indigenous Peoples' Health,Community Partnerships to Improve Sexual Health: The Six Nations Sexual Health Study,"                  $2,500","                      $0","0 yr 1 mth "
"Slater, Joyce J; Katz, Alan; Santos, Robert G",University of Manitoba,Project Grant,201709PJT,"Nutrition, Food & Health",FANS: Building Evidence to Inform Policies and Programs for Food and Nutrition Security in Manitoba Youth,"                $393,975","                      $0","3 yrs 0 mth "
"Slaunwhite, Amanda K; Hongdilokkul, Natt; Nosyk, Bohdan P; Pauly, Bernadette M; Urbanoski, Karen A",University of British Columbia,Op Grant: COVID-19 Rapid Research FO - Social Policy and Public Health Responses,202005VR5,COVID-19 Rapid Research - Social Policy and Public Health Responses,A mixed methods evaluation of risk mitigation measures to address the dual public health crises of COVID-19 and overdose,"                $777,439","                      $0","1 yr 0 mth "
"Slaunwhite, Amanda K; Crooks, Valorie A; Schuurman, Nadine C",University of British Columbia,Project Grant,202303PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Understanding the Geography of Overdose: A Mixed Methods Study,"                $879,752","                      $0","4 yrs 0 mth "
"Sluggett, Larine",University of Northern British Columbia,Master's Award: Canada Graduate Scholarships,201102GSM,Canada Graduate Scholarships Master's Awards B,Is sleep duration related to obesity in Canadian children and adolescents? An analysis of results from the Canadian Health Measures Survey.,"                 $17,500","                      $0","1 yr 0 mth "
"Small, Jeff",University of British Columbia,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Episodic memory training for persons with Alzheimer's disease,"                 $96,339","                      $0","2 yrs 0 mth "
"Small, Jeff",University of British Columbia,Operating Grant,200903MOP,Social Dimensions in Aging,New Frontiers in Memory Training for Persons with Alzheimer's Disease,"                 $22,322","                      $0","1 yr 0 mth "
"Small, William G","Simon Fraser University (Burnaby, B.C.)",Operating Grant: BSP Technical Adjustment,201403BSP,Special Cases,Implementation and ethical dimensions of scaling up HIV treatment as prevention (TasP),"                 $25,000","                      $0","1 yr 0 mth "
"Small, William G","Simon Fraser University (Burnaby, B.C.)",Operating Grant - PA: HIV/AIDS Res Initiative - Hlth Svs/Population Hlth Stream,201503HHP,"Public, Community & Population Health 2",Implementation and ethical dimensions of scaling up HIV treatment as prevention (TasP),"                $219,705","                      $0","3 yrs 0 mth "
"Small, William G",University of British Columbia,CIHR Fellowship,200902MFE,Health Research Training A - Post-PhD (HTA),An ethno-epidemiological investigation of social and environmental contexts of HIV vulnerability among IDU,"                $135,000","                      $0","3 yrs 0 mth "
"Smargiassi, Audrey; Eluru, Naveen; Hatzopoulou, Marianne; Morency, Catherine; Morency, Patrick",Université de Montréal,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Quantification of health risks and benefits of future transportation plans,"                $200,000","                      $0","3 yrs 0 mth "
"Smargiassi, Audrey",Université de Montréal,Operating Grant,201103MOP,Social & Developmental Aspects of Children's & Youth's Health,Incidence of Asthma and Outdoor Ambient Air Pollutants: A population-Based Birth Cohort Study,"                $157,540","                      $0","3 yrs 0 mth "
"Smethurst, Tania L",University of Victoria (British Columbia),Master's Award: Canada Graduate Scholarships,201002GSM,Canada Graduate Scholarships Master's Awards B,Developing a Tool to Assess Aboriginal Youth Wilderness Programs,"                 $17,500","                      $0","1 yr 0 mth "
"Smith, Andrew C",Dalhousie University (Nova Scotia),Master's Award: Canada Graduate Scholarships,201102GSM,Canada Graduate Scholarships Master's Awards B,Developing a Regular Garbage Pickup Plan for Garden Hill First Nation Using a Community-Based Approach,"                 $17,500","                      $0","1 yr 0 mth "
"Smith, Benjamin M; Kirby, Miranda A; Sadatsafavi, Mohsen",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,"Public, Community & Population Health 2",Improving Canadian Lung Cancer Screening Efficiency with a Computed Tomography Risk Classifier,"                $914,175","                      $0","5 yrs 0 mth "
"Smith, Benjamin M; Brook, Jeffrey R; Doiron, Dany; Duan, Qingling; Lu, Zihang; Sin, Donald; Subbarao, Padmaja",Research Institute of the McGill University Health Centre,Team Grant: Lung Health - Inflammation and Lung Health,202311LG5,Team Grant : Lung Health,Immune dysanapsis: Updating the paradigm of inflammation and lung health trajectories in diverse populations to achieve lifelong health for all,"              $1,998,780","                      $0","5 yrs 0 mth "
"Smith, Brendan",Institute for Work & Health (Toronto),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,Discovering Pathways to Health Equity: Assessing the Impact of Population Health Interventions that Target Behavioural Risk Factors in Reducing Social Inequalities in Coronary Heart Disease in Ontario.,"                $105,000","                      $0","3 yrs 0 mth "
"Smith, Brendan; Manuel, Douglas G",Public Health Ontario (Toronto),Project Grant,201709PJT,"Public, Community & Population Health 2",Cardiovascular disease attributable to nutrition-related causes: Estimating future burden and evaluating nutrition policy options for maximizing population health benefit in Canada,"                $325,125","                      $0","3 yrs 0 mth "
"Smith, Brendan; Hobin, Erin P",Public Health Ontario (Toronto),Project Grant,202003PJT,"Public, Community & Population Health","Estimating the impact of alcohol deregulation in Ontario on future burden of alcohol consumption and harms for the overall population and across vulnerable sub-populations: Evidence to inform the complex relationships between alcohol policy, consumption, and harms.","                $618,288","                      $0","4 yrs 0 mth "
"Smith, Brendan; Anderson, Laura N; Hobin, Erin P",Public Health Ontario (Toronto),Catalyst Grant: Analysis of CLSA Data - IPPH Mandate,202209AC9,Catalyst Grant: Analysis of CLSA Data,Investigating low-risk alcohol intake as a preventive factor for chronic disease risk in Canadian adults,"                 $70,000","                      $0","1 yr 0 mth "
"Smith, Eric E",University of Calgary,Operating Grant: BHCIA: Knowledge Synthesis and Mobilization Grants - VCI,202306BK7,BHCIA : Knowledge Synthesis and Mobilization Grants,"Empowering Individuals at Risk for or Living with Vascular Cognitive Impairment: A Co-Developed Video Series Promoting Engagement, Prevention Strategies, and Self-Management","                $100,000","                      $0","1 yr 0 mth "
"Smithers Graeme, Cindy",University of Western Ontario,Travel Awards - Institute Community Support,201701ISU,National Gathering of Graduate Students and New Investigator Meeting,"Rekindling the Flame: An Exploration of the Relationship between Health, Identity and Place among Urban First Nations Men.","                  $1,100","                      $0","1 yr 0 mth "
"Smith, Jenna",McMaster University,Travel Awards - Institute Community Support,201505ISU,Institute of Cancer Research,Exercise Interventions to Mitigate Side Effects of Myeloid Leukemia: A Systematic Review of the Literature,"                  $1,000","                      $0","1 yr 0 mth "
"Smith, Leah M",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,The health and economic impact of Ontario's Grade 8 HPV vaccination program,"                $105,000","                      $0","3 yrs 0 mth "
"Smith, Leah M",Direct Payment,Travel Awards - Institute Community Support,201301ISU,Institute of Population and Public Health - Travel Awards,The impact of publicly funded human papillomavirus (HPV) vaccination on cervical dysplasia: The Ontario Grade 8 HPV vaccine cohort study,"                  $2,484","                      $0","0 yr 3 mths "
"Smith, Liris P",University of Saskatchewan,Travel Awards - Institute Community Support,201802ISU,Summer Program in Aging,The Physical Activity Experience Among Métis Older Adults,"                    $600","                      $0","1 yr 0 mth "
"Smith, Liris P; Bingham, Bonnee",Direct Payment,Operating Grant - Indigenous COVID-19 Rapid Research FO - Research,202112FO1,Indigenous COVID-19 Rapid Research Funding Opportunity,In Their Words: COVID-19 experiences of the Vuntut Gwitchin people of Old Crow,"                $230,800","                      $0","1 yr 0 mth "
"Smith, Liris P; Metzger, Daniel L; Paradis, Marney L",Yukon University,Operating Grant: KM in Diabetes Prevention and Treatment - Territorial Regional,202405KM3,Operating Grant: Knowledge Mobilization in Diabetes Prevention and Treatment,Yukon Experiences in Management of Type One Diabetes: Patient and Provider Perspectives,"                 $62,500","                      $0","1 yr 0 mth "
"Smith, Maxwell",University of Toronto,Travel Awards - Institute Community Support,201501ISU,Institute of Population and Public Health - Travel Awards,Just what is 'Just' in Public Health? A Qualitative Study of Public Health Policy-Maker Perspectives,"                  $1,500","                      $0","1 yr 0 mth "
"Smith, Maxwell",University of Toronto,Travel Awards - Institute Community Support,201601ISU,Starting Investigors Workshop - IPPH,Clarifying and Solidifying Public Health's Commitment to Social Justice,"                  $1,460","                      $0","1 yr 0 mth "
"Smith, Maxwell",University of Western Ontario,IPPH Travel Awards - CPHA Annual Conference,202001IPT,IPPH Travel Awards - CPHA Annual Conference,Modelling Different Ethical Criteria of Health Equity to Inform Population Health Interventions,"                  $1,500","                      $0","1 yr 0 mth "
"Smith, Maxwell",McGill University,Banting Postdoctoral Fellowship Program,201509BPF,Banting Postdoctoral Fellowships Program,Reducing Health Inequities through Intersectoral Action: Achieving Alignment between the Ethical Values of Public Health and Social Policy,"                $140,000","                      $0","2 yrs 0 mth "
"Smith, Maxwell",McGill University,CIHR Fellowship,201511MFE,Health Research Training A - Post-PhD (HTA),Reducing Health Inequities through Intersectoral Action: Achieving Alignment between the Ethical Values of Public Health and Social Policy,"                 $90,000","                      $0","2 yrs 0 mth "
"Smith, Maxwell; Axler, Renata E",University of Western Ontario,Planning and Dissemination Grant - Institute Community Support,201809PCS,Equitable Artificial Intelligence for Public Health,Mapping the Equity Dimensions of AI in Public Health,"                 $39,568","                      $0","1 yr 0 mth "
"Smith, Maxwell; Smith, Brendan",University of Western Ontario,Planning and Dissemination Grant - Institute Community Support,201909PCS,Planning and Dissemination - IPPH - Social Science for Population Health,Establishing a Relationship Between Philosophy and Epidemiological Research and Practice: Modelling Ethical Standards of Health Equity (MESHE),"                 $20,000","                      $0","1 yr 0 mth "
"Smith, Maxwell; Upshur, Ross E",University of Western Ontario,"Operating Grant: COVID-19 - Coordination, governance and logistics",202002OV8,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Ethical Pathways for Therapeutics and Vaccine R&D in the Context of Public Health Emergencies of International Concern: An Analysis of the 2013-16 Ebola Outbreak to Rapidly Inform COVID-19 R&D,"                      $0","                      $0","2 yrs 0 mth "
"Smith, Maxwell",University of Western Ontario,Applied Public Health Chair - Applied Ethics in health emergencies,202310CH6,IPPH / PHAC Applied Public Health Chair,Ethical Preparedness: 'Ethics to Policy' in Public Health Emergency Preparedness and Response,"              $1,150,000","                      $0","6 yrs 0 mth "
"Smith, Nathan G",McGill University,Operating Grant,201103MOP,"Gender, Sex & Health","Bisexual Identity: Implications for Mental, Behavioural, and Physical Health","                $436,386","                      $0","3 yrs 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Operating Grant: Population Health Intervention Research,201409GIR,Operating Grant: Population Health Intervention Research,Evaluating the impact of mandatory awareness training on OH&S vulnerability in Ontario,"                $198,791","                      $0","1 yr 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Operating Grant: Advancing Theoretical Method. Innovations Hlth Res - POP,201110TO3,Operating Grant: Innovations in Health Research,Developing a conceptual framework for understanding and measuring occupational health and safety vulnerability,"                $173,795","                      $0","3 yrs 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Operating Grant,201309MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Understanding why gender and age differences exist in return-to-work following a musculoskeletal injury,"                $162,615","                      $0","2 yrs 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Operating Grant,201309MOP,"Gender, Sex & Health",Developing a gender/sex-sensitive understanding of how the psychosocial work environment is related to chronic disease,"                $329,947","                      $0","3 yrs 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Operating Grant,201009MOP,"Gender, Sex & Health",Examining the impact of physical conditions and depression on the labour market participation of older working-aged Canadians: exploring differences by gender and sex,"                $120,000","                      $0","2 yrs 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),"Chair: Gender, Work and Health",201210CGW,"Chair: Gender, Work and Health","Examining gender/sex differences in the relationships between work stress and disease, work injury risk, and the consequences of work injury","                $800,000","                      $0","5 yrs 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Operating Grant,200903MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health - A","A longitudinal examination of the relationship between immigrant labour market experiences, health behaviours and the incidence of diabetes and hypertension","                 $64,995","                      $0","1 yr 0 mth "
"Smith, Peter M; Rajaram, Nikhil",Institute for Work & Health (Toronto),Catalyst Grant: Cannabis Research in Urgent Priority Areas,201810CRU,Cannabis Research in Urgent Priority Areas,Cannabis and Workplace Fatalities: Establishing a Baseline in Ontario,"                $124,524","                      $0","1 yr 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Project Grant,201809PJT,"Public, Community & Population Health 2",Toking 9 to 5? Examining the impact of cannabis legalization on workplace cannabis use and perceptions among Canadian workers,"                $554,624","                      $0","4 yrs 0 mth "
"Smith, Peter M; Slade, Kimberley",Institute for Work & Health (Toronto),Cat. Gr.: Pop. Health Interv. Res. on Legalis. of Cannabis - Dev. Data Infrastru,201708SH1,Catalyst Grant: Population Health Intervention Research on Legalization of Cannabis,Toking 9 to 5? Clearing the haze on cannabis consumption in the Canadian workplace,"                $100,000","                      $0","1 yr 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Op. Gr.: Addr. Wider Impacts of COVID-Imp. on social/econ/pop iss/pbl outcomes,202111WI2,Operating Grant : Addressing the Wider Health Impacts of COVID-,What are the long-term health and labour market outcomes of workers who experienced work-related COVID-19 transmission?,"                $412,136","                      $0","2 yrs 0 mth "
"Smith, Peter M",Institute for Work & Health (Toronto),Project Grant - PA: Sex and Gender in Health Research (Bridge funding),202109PJX,"Gender, Sex & Health",Developing approaches to measuring the dimensions of gender and examining the relationship between 'gender dimension discordance' and health among Canadians.,"                $100,000","                      $0","1 yr 0 mth "
"Smith, Robert W",Unity Health Toronto,Health System Impact Fellowships - PostDoc Central Canada 2 year,202102HI5,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),Translating population health management from theory to practice in Ontario Health Teams.,"                $108,500","                      $0","2 yrs 0 mth "
"Smye, Victoria L",University of British Columbia,Operating Grant,201203MOP,Aboriginal Peoples' Health,Aboriginal Men's Narratives: Reclaiming Our Lives,"                $248,762","                      $0","3 yrs 0 mth "
"Smylie, Janet K; Konsmo, Erin M",Unity Health Toronto,Operating Grant: Pathways Implementation Research Team - Component 1,201410OPA,Pathways Implementation Research Team - Component 1,"Youth-Governed Approaches to Mental Health Promotion and Suicide Prevention for Two Spirit, LGBTTQQIA and Gender Non-Conforming Youth","                 $99,981","                      $0","1 yr 0 mth "
"Smylie, Janet K",Unity Health Toronto,Applied Public Health Chair,201405CPP,IPPH / PHAC Applied Public Health Chair,Clearing the Pathways to Health Equity: CIHR Applied Public Health Chair in Indigenous Health Information and Knowledge Systems,"                $693,500","                      $0","5 yrs 0 mth "
